Data/supervivencia.txt

Genotype	Treatment	Sucrose	Sorbitol	Ascorbic_Acid	futime	fustat
MU51	8	40	20	0	510	0
MU51	8	40	20	0	510	0
MU51	8	40	20	0	510	0
MU51	9	40	40	0	330	1
MU51	9	40	40	0	360	1
MU51	9	40	40	0	420	1
MU51	9	40	40	0	450	1
MU51	9	40	40	0	450	1
MU51	9	40	40	0	480	1
MU51	9	40	40	0	510	0
MU51	9	40	40	0	510	0
MU51	9	40	40	0	510	0
MU51	9	40	40	0	510	0
MU51	9	40	40	0	510	0
MU51	9	40	40	0	510	0
MU51	10	40	0	100	330	1
MU51	10	40	0	100	360	1
MU51	10	40	0	100	360	1
MU51	10	40	0	100	360	1
MU51	10	40	0	100	360	1
MU51	10	40	0	100	450	1
MU51	10	40	0	100	450	1
MU51	10	40	0	100	450	1
MU51	10	40	0	100	480	1
MU51	10	40	0	100	480	1
MU51	10	40	0	100	480	1
MU51	10	40	0	100	510	0
MU51	11	40	20	100	510	1
MU51	11	40	20	100	510	1
MU51	11	40	20	100	510	1
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	11	40	20	100	510	0
MU51	12	40	40	100	120	1
MU51	12	40	40	100	360	1
MU51	12	40	40	100	360	1
MU51	12	40	40	100	450	1
MU51	12	40	40	100	450	1
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU51	12	40	40	100	510	0
MU55	1	20	0	0	240	1
MU55	1	20	0	0	240	1
MU55	1	20	0	0	270	1
MU55	1	20	0	0	300	1
MU55	1	20	0	0	330	1
MU55	1	20	0	0	360	1
MU55	1	20	0	0	360	1
MU55	1	20	0	0	360	1
MU55	1	20	0	0	360	1
MU55	1	20	0	0	360	1
MU55	1	20	0	0	390	1
MU55	1	20	0	0	420	1
MU55	2	20	20	0	240	1
MU55	2	20	20	0	240	1
MU55	2	20	20	0	240	1
MU55	2	20	20	0	330	1
MU55	2	20	20	0	360	1
MU55	2	20	20	0	360	1
MU55	2	20	20	0	360	1
MU55	2	20	20	0	390	1
MU55	2	20	20	0	420	1
MU55	2	20	20	0	510	0
MU55	2	20	20	0	510	0
MU55	2	20	20	0	510	0
MU55	3	20	40	0	300	1
MU55	3	20	40	0	300	1
MU55	3	20	40	0	360	1
MU55	3	20	40	0	390	1
MU55	3	20	40	0	390	1
MU55	3	20	40	0	390	1
MU55	3	20	40	0	390	1
MU55	3	20	40	0	510	1
MU55	3	20	40	0	510	1
MU55	3	20	40	0	510	0
MU55	3	20	40	0	510	0
MU55	3	20	40	0	510	0
MU55	4	20	0	100	330	1
MU55	4	20	0	100	330	1
MU55	4	20	0	100	360	1
MU55	4	20	0	100	360	1
MU55	4	20	0	100	480	1
MU55	4	20	0	100	480	1
MU55	4	20	0	100	510	1
MU55	4	20	0	100	510	0
MU55	4	20	0	100	510	0
MU55	4	20	0	100	510	0
MU55	4	20	0	100	510	0
MU55	4	20	0	100	510	0
MU55	5	20	20	100	330	1
MU55	5	20	20	100	330	1
MU55	5	20	20	100	330	1
MU55	5	20	20	100	330	1
MU55	5	20	20	100	360	1
MU55	5	20	20	100	360	1
MU55	5	20	20	100	420	1
MU55	5	20	20	100	450	1
MU55	5	20	20	100	450	1
MU55	5	20	20	100	480	1
MU55	5	20	20	100	510	1
MU55	5	20	20	100	510	0
MU55	6	20	40	100	330	1
MU55	6	20	40	100	330	1
MU55	6	20	40	100	360	1
MU55	6	20	40	100	360	1
MU55	6	20	40	100	450	1
MU55	6	20	40	100	480	1
MU55	6	20	40	100	510	0
MU55	6	20	40	100	510	0
MU55	6	20	40	100	510	0
MU55	6	20	40	100	510	0
MU55	6	20	40	100	510	0
MU55	6	20	40	100	510	0
MU55	7	40	0	0	300	1
MU55	7	40	0	0	300	1
MU55	7	40	0	0	300	1
MU55	7	40	0	0	330	1
MU55	7	40	0	0	360	1
MU55	7	40	0	0	360	1
MU55	7	40	0	0	360	1
MU55	7	40	0	0	480	1
MU55	7	40	0	0	510	1
MU55	7	40	0	0	510	1
MU55	7	40	0	0	510	1
MU55	7	40	0	0	510	0
MU55	8	40	20	0	180	1
MU55	8	40	20	0	270	1
MU55	8	40	20	0	300	1
MU55	8	40	20	0	300	1
MU55	8	40	20	0	330	1
MU55	8	40	20	0	420	1
MU55	8	40	20	0	450	1
MU55	8	40	20	0	480	1
MU55	8	40	20	0	480	1
MU55	8	40	20	0	480	1
MU55	8	40	20	0	510	1
MU55	8	40	20	0	510	0
MU55	9	40	40	0	150	1
MU55	9	40	40	0	150	1
MU55	9	40	40	0	150	1
MU55	9	40	40	0	150	1
MU55	9	40	40	0	240	1
MU55	9	40	40	0	360	1
MU55	9	40	40	0	360	1
MU55	9	40	40	0	360	1
MU55	9	40	40	0	360	1
MU55	9	40	40	0	420	1
MU55	9	40	40	0	480	1
MU55	9	40	40	0	510	0
MU55	10	40	0	100	330	1
MU55	10	40	0	100	330	1
MU55	10	40	0	100	360	1
MU55	10	40	0	100	360	1
MU55	10	40	0	100	360	1
MU55	10	40	0	100	480	1
MU55	10	40	0	100	480	1
MU55	10	40	0	100	480	1
MU55	10	40	0	100	480	1
MU55	10	40	0	100	510	1
MU55	10	40	0	100	510	0
MU55	10	40	0	100	510	0
MU55	11	40	20	100	450	1
MU55	11	40	20	100	480	1
MU55	11	40	20	100	480	1
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	11	40	20	100	510	0
MU55	12	40	40	100	300	1
MU55	12	40	40	100	300	1
MU55	12	40	40	100	300	1
MU55	12	40	40	100	300	1
MU55	12	40	40	100	300	1
MU55	12	40	40	100	360	1
MU55	12	40	40	100	360	1
MU55	12	40	40	100	360	1
MU55	12	40	40	100	510	1
MU55	12	40	40	100	510	1
MU55	12	40	40	100	510	0
MU55	12	40	40	100	510	0
MU59	1	20	0	0	240	1
MU59	1	20	0	0	240	1
MU59	1	20	0	0	270	1
MU59	1	20	0	0	270	1
MU59	1	20	0	0	330	1
MU59	1	20	0	0	360	1
MU59	1	20	0	0	390	1
MU59	1	20	0	0	390	1
MU59	1	20	0	0	390	1
MU59	1	20	0	0	420	1
MU59	1	20	0	0	420	1
MU59	1	20	0	0	450	1
MU59	2	20	20	0	270	1
MU59	2	20	20	0	300	1
MU59	2	20	20	0	360	1
MU59	2	20	20	0	360	1
MU59	2	20	20	0	360	1
MU59	2	20	20	0	390	1
MU59	2	20	20	0	390	1
MU59	2	20	20	0	450	1
MU59	2	20	20	0	480	1
MU59	2	20	20	0	510	1
MU59	2	20	20	0	510	1
MU59	2	20	20	0	510	0
MU59	3	20	40	0	270	1
MU59	3	20	40	0	270	1
MU59	3	20	40	0	360	1
MU59	3	20	40	0	360	1
MU59	3	20	40	0	360	1
MU59	3	20	40	0	360	1
MU59	3	20	40	0	360	1
MU59	3	20	40	0	390	1
MU59	3	20	40	0	450	1
MU59	3	20	40	0	450	1
MU59	3	20	40	0	450	1
MU59	3	20	40	0	510	0
MU59	4	20	0	100	360	1
MU59	4	20	0	100	360	1
MU59	4	20	0	100	360	1
MU59	4	20	0	100	360	1
MU59	4	20	0	100	450	1
MU59	4	20	0	100	480	1
MU59	4	20	0	100	480	1
MU59	4	20	0	100	510	1
MU59	4	20	0	100	510	0
MU59	4	20	0	100	510	0
MU59	4	20	0	100	510	0
MU59	4	20	0	100	510	0
MU59	5	20	20	100	330	1
MU59	5	20	20	100	330	1
MU59	5	20	20	100	330	1
MU59	5	20	20	100	360	1
MU59	5	20	20	100	360	1
MU59	5	20	20	100	360	1
MU59	5	20	20	100	450	1
MU59	5	20	20	100	480	1
MU59	5	20	20	100	510	0
MU59	5	20	20	100	510	0
MU59	5	20	20	100	510	0
MU59	5	20	20	100	510	0
MU59	6	20	40	100	330	1
MU59	6	20	40	100	330	1
MU59	6	20	40	100	330	1
MU59	6	20	40	100	360	1
MU59	6	20	40	100	360	1
MU59	6	20	40	100	480	1
MU59	6	20	40	100	480	1
MU59	6	20	40	100	480	1
MU59	6	20	40	100	510	1
MU59	6	20	40	100	510	1
MU59	6	20	40	100	510	0
MU59	6	20	40	100	510	0
MU59	7	40	0	0	240	1
MU59	7	40	0	0	240	1
MU59	7	40	0	0	270	1
MU59	7	40	0	0	270	1
MU59	7	40	0	0	270	1
MU59	7	40	0	0	330	1
MU59	7	40	0	0	360	1
MU59	7	40	0	0	360	1
MU59	7	40	0	0	390	1
MU59	7	40	0	0	390	1
MU59	7	40	0	0	450	1
MU59	7	40	0	0	510	0
MU59	8	40	20	0	210	1
MU59	8	40	20	0	270	1
MU59	8	40	20	0	270	1
MU59	8	40	20	0	330	1
MU59	8	40	20	0	330	1
MU59	8	40	20	0	330	1
MU59	8	40	20	0	360	1
MU59	8	40	20	0	450	1
MU59	8	40	20	0	510	0
MU59	8	40	20	0	510	0
MU59	8	40	20	0	510	0
MU59	8	40	20	0	510	0
MU59	9	40	40	0	120	1
MU59	9	40	40	0	120	1
MU59	9	40	40	0	150	1
MU59	9	40	40	0	150	1
MU59	9	40	40	0	210	1
MU59	9	40	40	0	330	1
MU59	9	40	40	0	360	1
MU59	9	40	40	0	360	1
MU59	9	40	40	0	360	1
MU59	9	40	40	0	480	1
MU59	9	40	40	0	510	0
MU59	9	40	40	0	510	0
MU59	10	40	0	100	240	1
MU59	10	40	0	100	270	1
MU59	10	40	0	100	270	1
MU59	10	40	0	100	300	1
MU59	10	40	0	100	300	1
MU59	10	40	0	100	330	1
MU59	10	40	0	100	330	1
MU59	10	40	0	100	360	1
MU59	10	40	0	100	480	1
MU59	10	40	0	100	510	0
MU59	10	40	0	100	510	0
MU59	10	40	0	100	510	0
MU59	11	40	20	100	420	1
MU59	11	40	20	100	420	1
MU59	11	40	20	100	480	1
MU59	11	40	20	100	510	1
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	11	40	20	100	510	0
MU59	12	40	40	100	330	1
MU59	12	40	40	100	360	1
MU59	12	40	40	100	420	1
MU59	12	40	40	100	420	1
MU59	12	40	40	100	420	1
MU59	12	40	40	100	450	1
MU59	12	40	40	100	510	0
MU59	12	40	40	100	510	0
MU59	12	40	40	100	510	0
MU59	12	40	40	100	510	0
MU59	12	40	40	100	510	0
MU59	12	40	40	100	510	0
MU79	1	20	0	0	300	1
MU79	1	20	0	0	300	1
MU79	1	20	0	0	330	1
MU79	1	20	0	0	330	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	360	1
MU79	1	20	0	0	390	1
MU79	1	20	0	0	420	1
MU79	2	20	20	0	300	1
MU79	2	20	20	0	300	1
MU79	2	20	20	0	330	1
MU79	2	20	20	0	330	1
MU79	2	20	20	0	360	1
MU79	2	20	20	0	360	1
MU79	2	20	20	0	360	1
MU79	2	20	20	0	420	1
MU79	2	20	20	0	420	1
MU79	2	20	20	0	450	1
MU79	2	20	20	0	510	1
MU79	2	20	20	0	510	0
MU79	3	20	40	0	300	1
MU79	3	20	40	0	300	1
MU79	3	20	40	0	300	1
MU79	3	20	40	0	300	1
MU79	3	20	40	0	300	1
MU79	3	20	40	0	300	1
MU79	3	20	40	0	330	1
MU79	3	20	40	0	360	1
MU79	3	20	40	0	360	1
MU79	3	20	40	0	360	1
MU79	3	20	40	0	360	1
MU79	3	20	40	0	360	1
MU79	4	20	0	100	330	1
MU79	4	20	0	100	360	1
MU79	4	20	0	100	360	1
MU79	4	20	0	100	360	1
MU79	4	20	0	100	360	1
MU79	4	20	0	100	390	1
MU79	4	20	0	100	390	1
MU79	4	20	0	100	450	1
MU79	4	20	0	100	510	0
MU79	4	20	0	100	510	0
MU79	4	20	0	100	510	0
MU79	4	20	0	100	510	0
MU79	5	20	20	100	330	1
MU79	5	20	20	100	330	1
MU79	5	20	20	100	330	1
MU79	5	20	20	100	330	1
MU79	5	20	20	100	360	1
MU79	5	20	20	100	360	1
MU79	5	20	20	100	360	1
MU79	5	20	20	100	420	1
MU79	5	20	20	100	420	1
MU79	5	20	20	100	420	1
MU79	5	20	20	100	420	1
MU79	5	20	20	100	420	1
MU79	6	20	40	100	240	1
MU79	6	20	40	100	270	1
MU79	6	20	40	100	270	1
MU79	6	20	40	100	330	1
MU79	6	20	40	100	330	1
MU79	6	20	40	100	330	1
MU79	6	20	40	100	360	1
MU79	6	20	40	100	360	1
MU79	6	20	40	100	360	1
MU79	6	20	40	100	360	1
MU79	6	20	40	100	360	1
MU79	6	20	40	100	390	1
MU79	7	40	0	0	330	1
MU79	7	40	0	0	330	1
MU79	7	40	0	0	330	1
MU79	7	40	0	0	330	1
MU79	7	40	0	0	330	1
MU79	7	40	0	0	360	1
MU79	7	40	0	0	360	1
MU79	7	40	0	0	360	1
MU79	7	40	0	0	390	1
MU79	7	40	0	0	450	1
MU79	7	40	0	0	450	1
MU79	7	40	0	0	510	0
MU79	8	40	20	0	240	1
MU79	8	40	20	0	330	1
MU79	8	40	20	0	330	1
MU79	8	40	20	0	360	1
MU79	8	40	20	0	360	1
MU79	8	40	20	0	360	1
MU79	8	40	20	0	390	1
MU79	8	40	20	0	450	1
MU79	8	40	20	0	450	1
MU79	8	40	20	0	510	0
MU79	8	40	20	0	510	0
MU79	8	40	20	0	510	0
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	120	1
MU79	9	40	40	0	150	1
MU79	9	40	40	0	150	1
MU79	9	40	40	0	150	1
MU79	9	40	40	0	150	1
MU79	10	40	0	100	300	1
MU79	10	40	0	100	300	1
MU79	10	40	0	100	300	1
MU79	10	40	0	100	300	1
MU79	10	40	0	100	330	1
MU79	10	40	0	100	360	1
MU79	10	40	0	100	360	1
MU79	10	40	0	100	360	1
MU79	10	40	0	100	360	1
MU79	10	40	0	100	420	1
MU79	10	40	0	100	480	1
MU79	10	40	0	100	510	0
MU79	11	40	20	100	480	1
MU79	11	40	20	100	510	1
MU79	11	40	20	100	510	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	11	40	20	100	540	1
MU79	12	40	40	100	120	1
MU79	12	40	40	100	120	1
MU79	12	40	40	100	150	1
MU79	12	40	40	100	150	1
MU79	12	40	40	100	330	1
MU79	12	40	40	100	330	1
MU79	12	40	40	100	360	1
MU79	12	40	40	100	360	1
MU79	12	40	40	100	360	1
MU79	12	40	40	100	360	1
MU79	12	40	40	100	450	1
MU79	12	40	40	100	510	0
